 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Causas evitáveis - 0 a 4 anos
Período:1997
"Município";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"313507 JAMPRUCA";-;1;-;-;-;-;1;-;2
"313510 JANAUBA";-;4;2;2;4;-;-;5;17
"313520 JANUARIA";-;3;-;1;4;-;4;-;12
"313530 JAPARAIBA";-;-;-;-;-;-;-;-;-
"313535 JAPONVAR";-;-;-;-;-;-;-;-;-
"313540 JECEABA";-;3;-;-;-;1;-;-;4
"313545 JENIPAPO DE MINAS";-;-;1;-;-;-;-;-;1
"313550 JEQUERI";-;1;-;2;1;1;4;1;10
"313560 JEQUITAI";-;-;-;-;-;-;-;-;-
"313570 JEQUITIBA";-;-;-;1;-;-;1;-;2
"313580 JEQUITINHONHA";-;1;-;-;-;-;6;1;8
"313590 JESUANIA";-;-;-;-;-;-;-;1;1
"313600 JOAIMA";-;1;-;4;4;4;1;1;15
"313610 JOANESIA";-;-;-;-;-;1;1;-;2
"313620 JOAO MONLEVADE";-;9;2;8;1;3;2;5;30
"313630 JOAO PINHEIRO";-;1;-;6;1;2;6;3;19
"313640 JOAQUIM FELICIO";-;-;-;-;-;1;-;1;2
"313650 JORDANIA";-;-;-;-;1;-;-;-;1
"313652 JOSE GONCALVES DE MINAS";-;-;-;-;-;-;1;-;1
"313655 JOSE RAYDAN";-;-;-;-;1;-;-;-;1
"313657 JOSENOPOLIS";-;-;-;-;-;-;-;-;-
"313660 NOVA UNIAO";-;-;1;-;-;1;1;1;4
"313665 JUATUBA";-;1;1;5;1;-;-;1;9
"313670 JUIZ DE FORA";1;29;16;119;22;16;-;28;231
"313680 JURAMENTO";-;-;-;-;-;-;-;-;-
"313690 JURUAIA";-;-;-;1;1;-;-;-;2
"313695 JUVENILIA";-;-;-;-;-;-;-;-;-
"313700 LADAINHA";-;-;-;1;-;-;-;-;1
"313710 LAGAMAR";-;-;-;-;-;-;-;1;1
"313720 LAGOA DA PRATA";-;6;1;6;3;-;1;2;19
"313730 LAGOA DOS PATOS";1;-;-;-;1;-;1;-;3
"313740 LAGOA DOURADA";-;-;2;1;-;-;1;-;4
"313750 LAGOA FORMOSA";-;-;-;5;-;-;-;3;8
"313753 LAGOA GRANDE";-;-;-;-;1;-;-;-;1
"313760 LAGOA SANTA";-;1;-;4;-;-;1;7;13
"313770 LAJINHA";-;5;2;1;1;2;1;2;14
"313780 LAMBARI";-;1;-;2;-;1;-;-;4
"313790 LAMIM";-;-;-;-;-;-;-;-;-
"313800 LARANJAL";-;1;-;-;-;-;-;1;2
"313810 LASSANCE";-;-;-;-;-;-;-;-;-
"313820 LAVRAS";-;7;1;7;4;1;1;3;24
"313830 LEANDRO FERREIRA";-;-;-;-;-;-;-;1;1
"313835 LEME DO PRADO";-;-;-;-;-;-;-;-;-
"313840 LEOPOLDINA";-;4;-;11;4;4;2;1;26
"313850 LIBERDADE";-;-;-;1;-;1;-;-;2
"313860 LIMA DUARTE";-;2;-;1;1;1;2;1;8
"313862 LIMEIRA DO OESTE";-;1;2;-;1;-;-;1;5
"313865 LONTRA";-;-;-;-;1;2;-;-;3
"313867 LUISBURGO";-;-;-;2;2;-;-;1;5
"313868 LUISLANDIA";-;-;-;-;-;-;-;1;1
"313870 LUMINARIAS";-;-;-;-;-;-;-;1;1
"313880 LUZ";-;1;-;1;2;-;-;2;6
"313890 MACHACALIS";-;-;1;1;1;1;-;1;5
"313900 MACHADO";-;4;-;1;2;1;-;6;14
"313910 MADRE DE DEUS DE MINAS";-;-;1;-;-;-;-;1;2
"313920 MALACACHETA";-;-;-;1;1;2;-;-;4
"313925 MAMONAS";-;-;-;-;-;-;-;-;-
"313930 MANGA";-;2;1;1;1;3;-;3;11
"313940 MANHUACU";-;12;6;20;4;8;4;9;63
"313950 MANHUMIRIM";-;3;3;4;1;1;-;4;16
"313960 MANTENA";-;1;1;9;2;2;1;2;18
"313970 MARAVILHAS";-;-;-;1;-;-;-;-;1
"313980 MAR DE ESPANHA";-;-;-;5;1;2;-;-;8
"313990 MARIA DA FE";-;4;1;3;1;-;-;3;12
"314000 MARIANA";-;9;3;3;5;2;-;4;26
"314010 MARILAC";-;-;-;1;1;-;2;-;4
"314015 MARIO CAMPOS";-;1;-;1;-;1;-;-;3
"314020 MARIPA DE MINAS";-;-;-;-;-;1;-;-;1
"314030 MARLIERIA";-;1;-;-;-;-;-;2;3
"314040 MARMELOPOLIS";-;-;-;-;-;-;-;3;3
"314050 MARTINHO CAMPOS";-;2;-;-;-;-;1;-;3
"314053 MARTINS SOARES";-;-;-;1;-;-;-;-;1
"314055 MATA VERDE";-;-;-;-;-;-;-;-;-
"314060 MATERLANDIA";-;-;-;1;-;1;-;1;3
"314070 MATEUS LEME";-;-;-;7;-;-;-;3;10
"314080 MATIAS BARBOSA";-;-;1;1;1;-;-;1;4
"314085 MATIAS CARDOSO";-;-;-;1;1;-;2;-;4
"314090 MATIPO";-;5;-;5;3;6;2;3;24
"314100 MATO VERDE";-;-;1;-;1;-;-;1;3
"314110 MATOZINHOS";-;1;2;4;-;1;1;4;13
"314120 MATUTINA";-;-;-;-;-;-;-;-;-
"314130 MEDEIROS";-;-;-;-;-;-;-;-;-
"314140 MEDINA";-;-;-;-;-;-;-;-;-
"314150 MENDES PIMENTEL";-;-;-;-;-;-;-;-;-
"314160 MERCES";-;1;1;3;-;-;2;-;7
"314170 MESQUITA";-;-;-;-;-;-;-;1;1
"314180 MINAS NOVAS";-;-;-;2;1;1;-;2;6
"314190 MINDURI";-;3;-;1;-;-;-;-;4
"314200 MIRABELA";-;-;-;2;-;-;-;1;3
"314210 MIRADOURO";-;1;-;3;-;-;1;2;7
"314220 MIRAI";-;1;1;3;4;1;-;2;12
"314225 MIRAVANIA";-;-;-;-;-;-;-;-;-
"314230 MOEDA";-;-;-;-;1;-;-;-;1
"314240 MOEMA";-;-;-;-;-;-;-;-;-
"314250 MONJOLOS";-;2;-;-;-;-;-;-;2
"314260 MONSENHOR PAULO";-;-;-;2;-;-;-;2;4
"314270 MONTALVANIA";-;-;-;-;-;-;1;-;1
"314280 MONTE ALEGRE DE MINAS";-;1;-;1;-;-;-;-;2
"314290 MONTE AZUL";-;-;1;3;-;-;1;1;6
"314300 MONTE BELO";-;-;2;1;-;-;-;1;4
"314310 MONTE CARMELO";-;5;1;2;1;2;1;3;15
"314315 MONTE FORMOSO";-;-;-;-;-;-;-;1;1
"314320 MONTE SANTO DE MINAS";-;-;2;2;2;1;-;-;7
"314330 MONTES CLAROS";-;75;9;35;30;7;-;33;189
"314340 MONTE SIAO";-;1;1;1;1;-;-;-;4
"314345 MONTEZUMA";-;-;-;-;-;-;2;-;2
"314350 MORADA NOVA DE MINAS";-;2;-;1;-;-;-;-;3
"314360 MORRO DA GARCA";-;-;-;-;-;-;-;-;-
"314370 MORRO DO PILAR";-;1;-;-;-;1;2;-;4
"314380 MUNHOZ";-;-;-;1;-;-;-;2;3
"314390 MURIAE";-;-;-;-;-;2;-;-;2
"314400 MUTUM";-;5;-;2;3;2;1;3;16
"314410 MUZAMBINHO";-;3;1;4;-;-;-;-;8
"314420 NACIP RAYDAN";-;-;-;-;-;-;1;-;1
"314430 NANUQUE";-;3;1;8;2;5;1;5;25
"314435 NAQUE";-;-;-;-;-;-;-;-;-
"314437 NATALANDIA";-;-;-;-;1;-;-;-;1
"314440 NATERCIA";-;-;-;-;-;-;1;-;1
"314450 NAZARENO";-;1;1;1;-;-;-;1;4
"314460 NEPOMUCENO";-;4;-;1;1;-;2;2;10
"314465 NINHEIRA";-;-;-;-;-;-;1;-;1
"314467 NOVA BELEM";-;-;-;-;-;1;1;1;3
"314470 NOVA ERA";-;2;1;3;1;-;-;1;8
"314480 NOVA LIMA";-;3;-;8;5;6;3;4;29
"314490 NOVA MODICA";-;-;-;-;-;-;-;-;-
"314500 NOVA PONTE";-;-;-;-;-;-;-;-;-
"314505 NOVA PORTEIRINHA";-;1;-;-;-;-;2;-;3
"314510 NOVA RESENDE";-;-;-;2;-;-;-;1;3
"314520 NOVA SERRANA";-;2;1;1;3;1;2;-;10
"314530 NOVO CRUZEIRO";-;-;1;4;5;1;1;-;12
"314535 NOVO ORIENTE DE MINAS";-;-;1;-;-;-;-;-;1
"314537 NOVORIZONTE";-;-;-;-;-;-;-;-;-
"314540 OLARIA";-;-;-;-;-;-;-;-;-
"314545 OLHOS-D'AGUA";-;-;-;-;-;-;-;-;-
"314550 OLIMPIO NORONHA";-;-;1;-;-;-;-;-;1
"314560 OLIVEIRA";-;1;5;4;-;3;1;7;21
"314570 OLIVEIRA FORTES";-;-;1;-;-;-;-;-;1
"314580 ONCA DE PITANGUI";-;-;-;-;-;-;-;-;-
"314585 ORATORIOS";-;1;-;-;-;-;-;-;1
"314587 ORIZANIA";-;-;-;-;-;-;-;1;1
"314590 OURO BRANCO";-;-;3;-;1;-;1;2;7
"314600 OURO FINO";-;3;-;3;1;-;1;2;10
"314610 OURO PRETO";-;8;2;8;-;-;5;2;25
"314620 OURO VERDE DE MINAS";-;-;-;1;1;-;3;-;5
"314625 PADRE CARVALHO";-;-;-;-;-;-;-;-;-
"314630 PADRE PARAISO";-;-;-;-;-;-;-;-;-
"314640 PAINEIRAS";-;-;1;1;1;-;-;-;3
"314650 PAINS";-;1;-;3;-;-;-;-;4
"314655 PAI PEDRO";-;-;-;-;-;-;-;-;-
"314660 PAIVA";-;-;1;-;-;-;-;-;1
"314670 PALMA";-;-;-;1;-;1;-;-;2
"314675 PALMOPOLIS";-;-;-;-;-;-;-;-;-
"314690 PAPAGAIOS";-;-;-;1;1;-;1;-;3
"314700 PARACATU";1;3;2;9;1;4;4;10;34
"314710 PARA DE MINAS";-;20;9;16;4;2;-;8;59
"314720 PARAGUACU";-;3;-;1;-;1;-;2;7
"314730 PARAISOPOLIS";-;1;1;2;-;3;-;1;8
"314740 PARAOPEBA";-;3;1;2;-;-;-;3;9
"314750 PASSABEM";-;-;-;-;-;-;-;-;-
"314760 PASSA QUATRO";-;2;-;-;-;-;-;1;3
"314770 PASSA TEMPO";-;1;1;-;-;-;-;1;3
"314780 PASSA-VINTE";-;-;-;1;-;-;-;-;1
"314790 PASSOS";-;11;4;11;4;1;-;7;38
"314795 PATIS";-;-;-;-;1;-;-;-;1
"314800 PATOS DE MINAS";-;13;6;6;3;3;2;9;42
"314810 PATROCINIO";-;7;2;6;3;-;-;5;23
"314820 PATROCINIO DO MURIAE";-;-;-;-;-;-;-;-;-
"314830 PAULA CANDIDO";-;-;-;1;-;-;3;-;4
"314840 PAULISTAS";-;-;-;-;-;-;1;-;1
"314850 PAVAO";-;-;-;-;-;-;-;-;-
"314860 PECANHA";-;1;1;-;-;4;1;2;9
"314870 PEDRA AZUL";-;-;-;-;4;1;7;2;14
"314875 PEDRA BONITA";-;2;-;-;-;-;1;-;3
"314880 PEDRA DO ANTA";-;-;-;-;-;1;1;-;2
"314890 PEDRA DO INDAIA";-;-;-;-;-;-;1;-;1
"314900 PEDRA DOURADA";-;-;1;1;1;-;-;-;3
"314910 PEDRALVA";-;1;2;1;1;-;-;-;5
"314915 PEDRAS DE MARIA DA CRUZ";-;-;-;-;-;-;-;-;-
"314920 PEDRINOPOLIS";-;-;-;-;-;-;-;-;-
"314930 PEDRO LEOPOLDO";-;4;-;2;2;2;-;3;13
"314940 PEDRO TEIXEIRA";-;-;-;-;-;-;1;-;1
"314950 PEQUERI";-;-;-;-;-;-;-;-;-
"314960 PEQUI";-;-;-;-;-;1;-;-;1
"314970 PERDIGAO";-;-;-;-;-;-;-;-;-
"314980 PERDIZES";-;1;-;1;-;-;-;1;3
"314990 PERDOES";-;-;2;-;-;-;-;3;5
"314995 PERIQUITO";-;-;-;-;-;-;-;-;-
"315000 PESCADOR";-;-;-;-;-;-;-;-;-
"315010 PIAU";-;-;-;-;-;-;-;-;-
"315015 PIEDADE DE CARATINGA";-;1;1;-;1;-;1;-;4
"315020 PIEDADE DE PONTE NOVA";-;-;-;-;-;1;2;-;3
"315030 PIEDADE DO RIO GRANDE";-;-;-;-;1;-;-;1;2
"315040 PIEDADE DOS GERAIS";-;-;-;-;-;1;-;-;1
"315050 PIMENTA";-;-;1;-;-;-;-;-;1
"315053 PINGO-D'AGUA";-;1;-;-;-;1;-;-;2
"315057 PINTOPOLIS";-;-;-;-;-;-;-;-;-
"315060 PIRACEMA";-;1;-;1;-;-;-;-;2
"315070 PIRAJUBA";-;-;1;-;-;-;-;-;1
"315080 PIRANGA";-;-;-;4;1;2;-;3;10
"315090 PIRANGUCU";-;1;-;-;-;-;-;1;2
"315100 PIRANGUINHO";-;-;1;-;-;-;-;-;1
"315110 PIRAPETINGA";-;3;1;-;-;-;1;-;5
"315120 PIRAPORA";-;1;1;7;1;2;1;3;16
"315130 PIRAUBA";-;-;1;3;1;-;-;1;6
"315140 PITANGUI";-;2;-;-;2;-;2;3;9
"315150 PIUMHI";-;2;1;2;2;-;-;4;11
"315160 PLANURA";-;3;-;2;1;-;-;1;7
"315170 POCO FUNDO";-;2;1;3;2;-;-;1;9
"315180 POCOS DE CALDAS";-;9;1;10;2;-;5;9;36
"315190 POCRANE";-;2;-;-;-;-;3;1;6
"315200 POMPEU";-;5;-;6;1;2;1;1;16
"315210 PONTE NOVA";-;1;1;8;-;5;3;1;19
"315213 PONTO CHIQUE";-;-;-;-;-;-;-;-;-
"315217 PONTO DOS VOLANTES";-;-;-;-;-;-;-;-;-
"315220 PORTEIRINHA";-;-;1;4;4;3;3;-;15
"315230 PORTO FIRME";-;-;-;-;-;-;-;-;-
"315240 POTE";-;-;-;-;-;-;1;-;1
"315250 POUSO ALEGRE";-;10;2;7;3;4;5;7;38
"315260 POUSO ALTO";-;3;-;2;-;-;-;2;7
"315270 PRADOS";-;1;-;-;1;-;-;-;2
"315280 PRATA";-;-;-;2;2;-;-;-;4
"315290 PRATAPOLIS";-;2;-;-;-;-;-;1;3
"315300 PRATINHA";-;1;-;-;-;-;-;-;1
"315310 PRESIDENTE BERNARDES";-;-;-;-;2;1;-;-;3
"315320 PRESIDENTE JUSCELINO";-;-;1;1;-;-;-;-;2
"315330 PRESIDENTE KUBITSCHEK";-;-;1;-;-;1;-;1;3
"315340 PRESIDENTE OLEGARIO";-;1;-;-;-;-;1;-;2
"315350 ALTO JEQUITIBA";-;2;-;4;1;-;1;2;10
"315360 PRUDENTE DE MORAIS";-;2;-;-;-;-;-;-;2
"315370 QUARTEL GERAL";-;-;-;-;-;-;-;-;-
"315380 QUELUZITO";-;-;-;1;-;-;-;-;1
"315390 RAPOSOS";-;-;2;5;-;2;2;1;12
"315400 RAUL SOARES";-;3;4;5;1;2;3;1;19
"315410 RECREIO";-;1;1;-;-;1;-;1;4
"315415 REDUTO";-;-;-;-;-;-;2;-;2
"315420 RESENDE COSTA";-;3;-;1;-;1;-;2;7
"315430 RESPLENDOR";-;1;2;3;-;-;-;-;6
"315440 RESSAQUINHA";-;-;-;-;-;-;-;1;1
"315445 RIACHINHO";-;-;-;-;-;-;-;-;-
"315450 RIACHO DOS MACHADOS";-;-;-;-;-;-;-;-;-
"315460 RIBEIRAO DAS NEVES";-;33;12;36;19;9;-;23;132
"315470 RIBEIRAO VERMELHO";-;-;-;2;-;1;-;-;3
"315480 RIO ACIMA";-;-;-;2;-;1;1;1;5
"315490 RIO CASCA";-;1;1;1;2;3;1;2;11
"315500 RIO DOCE";-;-;-;1;-;-;-;-;1
"315510 RIO DO PRADO";-;-;-;-;-;-;-;-;-
"315520 RIO ESPERA";-;1;-;1;-;-;1;-;3
"315530 RIO MANSO";-;1;-;-;-;-;-;-;1
"315540 RIO NOVO";-;-;-;1;-;2;-;1;4
"315550 RIO PARANAIBA";-;-;-;1;-;-;-;1;2
"315560 RIO PARDO DE MINAS";-;1;1;2;1;3;-;1;9
"315570 RIO PIRACICABA";-;1;-;2;-;2;1;1;7
"315580 RIO POMBA";-;-;1;5;1;-;1;3;11
"315590 RIO PRETO";-;-;1;1;-;-;-;-;2
"315600 RIO VERMELHO";-;-;1;2;1;-;4;-;8
"315610 RITAPOLIS";-;-;-;-;-;1;-;-;1
"315620 ROCHEDO DE MINAS";-;-;-;-;-;-;-;-;-
"315630 RODEIRO";-;-;1;-;-;-;-;1;2
"315640 ROMARIA";-;-;-;-;-;-;-;-;-
"315645 ROSARIO DA LIMEIRA";-;-;-;-;-;-;-;-;-
"315650 RUBELITA";-;-;-;-;-;-;-;1;1
"315660 RUBIM";-;1;-;1;-;-;2;-;4
"315670 SABARA";-;13;-;12;10;9;1;5;50
"315680 SABINOPOLIS";-;4;-;4;1;1;4;3;17
"315690 SACRAMENTO";-;1;-;1;1;-;2;1;6
"315700 SALINAS";-;-;-;-;3;-;2;2;7
"315710 SALTO DA DIVISA";-;1;-;-;3;1;-;-;5
"315720 SANTA BARBARA";-;7;3;5;2;3;1;1;22
"315725 SANTA BARBARA DO LESTE";-;1;-;1;-;-;1;-;3
"315727 SANTA BARBARA DO MONTE VERDE";-;-;-;-;-;-;-;-;-
"315730 SANTA BARBARA DO TUGURIO";-;-;-;1;-;-;-;-;1
"315733 SANTA CRUZ DE MINAS";-;-;-;1;-;-;1;1;3
"315737 SANTA CRUZ DE SALINAS";-;-;-;-;-;-;1;-;1
"315740 SANTA CRUZ DO ESCALVADO";-;-;-;-;-;2;1;-;3
"315750 SANTA EFIGENIA DE MINAS";-;-;-;-;-;1;-;-;1
"315760 SANTA FE DE MINAS";-;-;-;-;1;-;1;-;2
"315765 SANTA HELENA DE MINAS";-;-;-;-;-;-;1;1;2
"315770 SANTA JULIANA";-;-;-;-;-;-;-;-;-
"315780 SANTA LUZIA";1;23;2;27;22;11;1;14;101
"315790 SANTA MARGARIDA";-;4;1;5;-;2;1;-;13
"315800 SANTA MARIA DE ITABIRA";-;1;1;1;-;-;-;2;5
"315810 SANTA MARIA DO SALTO";-;-;-;-;-;-;1;-;1
"315820 SANTA MARIA DO SUACUI";-;-;-;4;1;-;-;2;7
"315830 SANTANA DA VARGEM";-;-;-;1;1;-;-;2;4
"315840 SANTANA DE CATAGUASES";-;-;-;-;-;-;-;-;-
"315850 SANTANA DE PIRAPAMA";-;-;-;1;2;-;-;1;4
"315860 SANTANA DO DESERTO";-;-;-;3;1;-;-;1;5
"315870 SANTANA DO GARAMBEU";-;-;-;-;-;-;-;-;-
"315880 SANTANA DO JACARE";-;-;-;-;-;-;-;2;2
"315890 SANTANA DO MANHUACU";-;1;-;1;-;1;-;-;3
"315895 SANTANA DO PARAISO";-;2;-;2;1;-;1;1;7
"315900 SANTANA DO RIACHO";-;-;-;-;-;-;1;-;1
"315910 SANTANA DOS MONTES";-;-;-;-;-;-;-;-;-
"315920 SANTA RITA DE CALDAS";-;1;-;-;-;-;-;-;1
"315930 SANTA RITA DE JACUTINGA";-;-;-;-;-;-;-;-;-
"315935 SANTA RITA DE MINAS";-;-;-;-;-;1;-;1;2
"315940 SANTA RITA DE IBITIPOCA";-;-;-;2;-;-;-;-;2
"315950 SANTA RITA DO ITUETO";-;-;-;1;-;-;1;-;2
"315960 SANTA RITA DO SAPUCAI";-;2;-;4;2;-;2;4;14
"315970 SANTA ROSA DA SERRA";-;-;-;-;-;-;-;-;-
"315980 SANTA VITORIA";-;4;1;1;-;-;-;-;6
"315990 SANTO ANTONIO DO AMPARO";-;1;-;6;1;2;-;5;15
"316000 SANTO ANTONIO DO AVENTUREIRO";-;-;-;-;-;-;-;-;-
"316010 SANTO ANTONIO DO GRAMA";-;-;-;-;-;1;-;-;1
"316020 SANTO ANTONIO DO ITAMBE";-;-;-;-;1;-;-;-;1
"316030 SANTO ANTONIO DO JACINTO";-;-;-;-;-;-;-;-;-
"316040 SANTO ANTONIO DO MONTE";-;2;-;-;-;1;-;1;4
"316045 SANTO ANTONIO DO RETIRO";-;-;-;-;-;-;-;-;-
"316050 SANTO ANTONIO DO RIO ABAIXO";-;-;-;-;-;-;-;-;-
"316060 SANTO HIPOLITO";-;-;-;-;-;1;-;-;1
"316070 SANTOS DUMONT";-;6;2;4;1;2;2;4;21
"316080 SAO BENTO ABADE";-;-;-;-;-;-;-;-;-
"316090 SAO BRAS DO SUACUI";-;-;-;1;-;-;1;-;2
"316095 SAO DOMINGOS DAS DORES";-;-;-;-;-;-;-;-;-
"316100 SAO DOMINGOS DO PRATA";-;2;-;3;-;1;2;-;8
"316105 SAO FELIX DE MINAS";-;-;-;-;-;-;1;-;1
"316110 SAO FRANCISCO";-;4;3;2;3;1;11;3;27
"316120 SAO FRANCISCO DE PAULA";-;-;-;-;1;-;-;1;2
"316130 SAO FRANCISCO DE SALES";-;-;-;-;-;-;-;-;-
"316140 SAO FRANCISCO DO GLORIA";-;-;-;1;-;-;-;-;1
"316150 SAO GERALDO";-;-;-;-;-;1;-;1;2
"316160 SAO GERALDO DA PIEDADE";-;-;-;-;-;-;-;-;-
"316165 SAO GERALDO DO BAIXIO";-;-;-;-;-;-;-;-;-
"316170 SAO GONCALO DO ABAETE";-;-;1;-;-;-;-;-;1
"316180 SAO GONCALO DO PARA";-;-;-;1;1;-;-;-;2
"316190 SAO GONCALO DO RIO ABAIXO";-;1;-;-;1;1;3;-;6
"316200 SAO GONCALO DO SAPUCAI";-;5;-;-;-;-;-;1;6
"316210 SAO GOTARDO";-;3;-;8;1;-;-;-;12
"316220 SAO JOAO BATISTA DO GLORIA";-;-;-;-;1;-;-;-;1
"316225 SAO JOAO DA LAGOA";-;-;-;-;-;-;-;-;-
"316230 SAO JOAO DA MATA";-;-;-;-;-;-;-;-;-
"316240 SAO JOAO DA PONTE";1;1;-;3;2;-;-;1;8
"316245 SAO JOAO DAS MISSOES";-;-;1;-;-;-;-;-;1
"316250 SAO JOAO DEL REI";1;3;4;10;1;3;4;4;30
"316255 SAO JOAO DO MANHUACU";-;1;1;1;-;2;-;1;6
"316257 SAO JOAO DO MANTENINHA";-;-;-;-;-;-;-;-;-
"316260 SAO JOAO DO ORIENTE";-;-;-;-;3;-;2;1;6
"316265 SAO JOAO DO PACUI";-;-;-;-;-;-;-;-;-
"316270 SAO JOAO DO PARAISO";-;-;-;2;-;-;-;-;2
"316280 SAO JOAO EVANGELISTA";-;-;-;7;1;1;2;-;11
"316290 SAO JOAO NEPOMUCENO";-;-;1;2;-;-;1;-;4
"316292 SAO JOAQUIM DE BICAS";-;2;1;2;1;-;2;-;8
"316294 SAO JOSE DA BARRA";-;-;-;-;-;-;-;-;-
"316295 SAO JOSE DA LAPA";-;-;-;3;4;1;-;1;9
"316300 SAO JOSE DA SAFIRA";-;-;-;-;-;-;-;-;-
"316310 SAO JOSE DA VARGINHA";-;-;-;-;-;-;-;-;-
"316320 SAO JOSE DO ALEGRE";-;-;-;-;1;-;-;-;1
"316330 SAO JOSE DO DIVINO";-;-;-;1;-;-;-;-;1
"316340 SAO JOSE DO GOIABAL";-;-;-;1;-;1;-;-;2
"316350 SAO JOSE DO JACURI";-;-;-;-;1;-;2;-;3
"316360 SAO JOSE DO MANTIMENTO";-;-;-;-;-;-;-;-;-
"316370 SAO LOURENCO";-;5;3;2;2;2;-;2;16
"316380 SAO MIGUEL DO ANTA";-;-;-;-;-;-;-;-;-
"316390 SAO PEDRO DA UNIAO";-;-;1;-;-;1;-;-;2
"316400 SAO PEDRO DOS FERROS";-;-;-;-;1;-;-;1;2
"316410 SAO PEDRO DO SUACUI";-;-;-;-;-;-;-;-;-
"316420 SAO ROMAO";-;3;-;2;1;-;-;1;7
"316430 SAO ROQUE DE MINAS";-;2;-;-;-;-;-;-;2
"316440 SAO SEBASTIAO DA BELA VISTA";-;-;-;-;-;-;-;1;1
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";-;-;-;-;-;-;-;-;-
"316447 SAO SEBASTIAO DO ANTA";-;-;-;-;-;-;-;-;-
"316450 SAO SEBASTIAO DO MARANHAO";-;-;-;1;-;-;1;1;3
"316460 SAO SEBASTIAO DO OESTE";-;2;-;-;-;-;-;-;2
"316470 SAO SEBASTIAO DO PARAISO";-;6;-;2;-;4;3;2;17
"316480 SAO SEBASTIAO DO RIO PRETO";-;-;-;-;-;-;-;-;-
"316490 SAO SEBASTIAO DO RIO VERDE";-;-;-;-;-;-;-;-;-
"316500 SAO TIAGO";-;1;-;-;3;-;-;-;4
"316510 SAO TOMAS DE AQUINO";-;-;-;-;1;-;-;-;1
"316520 SAO THOME DAS LETRAS";-;-;1;-;-;-;-;1;2
"316530 SAO VICENTE DE MINAS";-;-;1;4;-;-;-;1;6
"316540 SAPUCAI-MIRIM";-;-;-;-;1;-;1;-;2
"316550 SARDOA";-;-;-;3;-;-;2;1;6
"316553 SARZEDO";-;4;-;2;2;1;-;1;10
"316555 SETUBINHA";-;-;-;-;-;-;-;-;-
"316556 SEM-PEIXE";-;-;-;1;-;-;-;1;2
"316557 SENADOR AMARAL";-;-;-;-;-;-;-;1;1
"316560 SENADOR CORTES";-;-;-;-;-;-;-;-;-
"316570 SENADOR FIRMINO";-;2;-;-;1;1;-;-;4
"316580 SENADOR JOSE BENTO";-;-;-;-;-;-;-;-;-
"316590 SENADOR MODESTINO GONCALVES";-;1;-;-;-;-;-;-;1
"316600 SENHORA DE OLIVEIRA";-;1;-;-;-;-;-;-;1
"316610 SENHORA DO PORTO";-;-;-;-;-;-;-;-;-
"316620 SENHORA DOS REMEDIOS";-;-;-;1;-;-;-;1;2
"316630 SERICITA";-;1;1;-;-;-;3;1;6
"316640 SERITINGA";-;-;-;-;-;-;-;-;-
"316650 SERRA AZUL DE MINAS";-;-;1;1;1;-;-;-;3
"316660 SERRA DA SAUDADE";-;-;-;-;-;-;-;-;-
"316670 SERRA DOS AIMORES";-;-;-;1;-;-;1;1;3
"316680 SERRA DO SALITRE";-;-;2;-;1;-;1;1;5
"316690 SERRANIA";-;-;-;2;-;1;1;-;4
"316695 SERRANOPOLIS DE MINAS";-;-;-;-;-;-;-;-;-
"316700 SERRANOS";-;-;-;-;-;-;-;-;-
"316710 SERRO";-;2;2;5;1;1;2;1;14
"316720 SETE LAGOAS";-;28;3;28;13;7;1;9;89
"316730 SILVEIRANIA";-;-;-;-;-;-;-;1;1
"316740 SILVIANOPOLIS";-;-;1;-;-;-;-;-;1
"316750 SIMAO PEREIRA";-;-;-;-;-;-;-;-;-
"316760 SIMONESIA";-;-;3;-;-;1;3;2;9
"316770 SOBRALIA";-;-;-;1;-;-;-;-;1
"316780 SOLEDADE DE MINAS";-;1;1;-;-;-;-;1;3
"316790 TABULEIRO";-;2;-;-;-;-;1;1;4
"316800 TAIOBEIRAS";-;2;1;12;4;1;-;6;26
"316805 TAPARUBA";-;-;-;-;-;-;-;-;-
"316810 TAPIRA";-;-;-;-;-;-;-;-;-
"316820 TAPIRAI";-;-;-;-;-;-;-;-;-
"316830 TAQUARACU DE MINAS";-;-;-;-;-;-;-;-;-
"316840 TARUMIRIM";-;-;1;-;-;-;5;-;6
"316850 TEIXEIRAS";-;2;1;-;2;-;-;-;5
"316860 TEOFILO OTONI";-;3;2;16;4;9;4;4;42
"316870 TIMOTEO";-;8;2;6;1;-;2;4;23
"316880 TIRADENTES";-;-;-;1;-;-;1;-;2
"316890 TIROS";-;2;-;1;-;1;-;1;5
"316900 TOCANTINS";-;1;1;4;2;-;-;-;8
"316905 TOCOS DO MOJI";-;-;-;-;-;-;-;-;-
"316910 TOLEDO";-;-;1;-;1;1;-;2;5
"316920 TOMBOS";-;-;1;3;-;-;-;1;5
